name,context,question,answer
Barbara_Minerva_,"After the world was destroyed in a battle between Wonder Woman and Superman, Cheetah was captured by humans who thought she had something to do with it. She was tortured and experimented on, and forced to act as a gladiator in a human camp for years, until she was saved by the returning Wonder Woman. She eventually returned the favor, helping Diana stop the monstrous Haedras and their leader, Queen Hippolyta.",Why was Cheetah captured by humans ?,They thought Cheetah had something to do with the battle between Wonder Woman and Superman that destroyed the world
Barry_Allen_,"The Flash (real name Barry Allen) is a friendly and optimistic speedster who protects Central City with the help of his allies at S.T.A.R. Labs. He is a founding member and leader of the League and Team Flash, who works as a forensic scientist in his civilian identity at the CCPD.",What superhero teams is Flash part of ?,The Justice League and Team Flash
Barry_Allen_,"The Flash (real name Barry Allen) was an excitable and obsessive speedster from an alternate timeline accidentally created by the prime timeline's Flash. Once a member of the Justice League, he became obsessed with saving those he cared about from death and became trapped in a time loop trying to save the lives of his friends.",What is The Flash’s real name ?,Barry Allen
Barry_Allen_,"Barry Allen is the second incarnation of The Flash, the fastest man alive. Using his super-speed powers, he taps into the Speed Force and becomes a costumed crime-fighter. His position is a legacy in the Flash Family, successor to the original Jay Garrick and predecessor to Wally West. He is a founding member of the Justice League of America.",How many versions of Flash are there ?,Jay Garrick was the original Flash. Barry Allen was the second Flash. Wally West was the third Flash
Bart_Allen_,"Bart Allen, better known as Impulse is a superhero speedster, and member of the Flash Family. He and his fellow speedsters lost their powers after an attack by the possessed Wally West. Bart worked with the Family to use their Rogue's gadgets against their former friend, until he was killed by Calculator.",How did Bart Allen die ?,Bart Allen was killed by Calculator while he was fighting a possessed Wally West.
Bart_Allen_,"Bart Allen was a teenage speedster and a member of the Flash Family who went by several code names. He was born in the 30th Century, the grandson of time-traveling speedster Barry Allen, although he returned to the past to continue his family's legacy. Because of his strange origins, he aged at an inconsistent rate. Originally, he took the name Impulse to reflect his impulsive nature, but later changed his alias to Kid Flash when he grew older. There was a brief period when he became The Flash after Infinite Crisis, but he was killed by the Rogues during Full Throttle. Later on, he was resurrected during Final Crisis through his connection to the Speed Force and returned to his role as Kid Flash, before sacrificing himself during Flashpoint. Bart Allen was a member of the New Titans, Young Justice, the Teen Titans, and the Legion of Super-Heroes.",What superhero teams is Bart Allen part of ?,"Bart Allen was part of the New Teen Titans, the Young Jusice, the Teen Titans and the Legion of Super-Heroes. "
Batman_,"Batman is the superhero protector of Gotham City, a tortured, brooding vigilante dressed as a bat who fights against evil and strikes fear into the hearts of criminals everywhere. In his public identity, he is Bruce Wayne, a billionaire industrialist and notorious playboy. Although he has no superhuman abilities, he is one of the world's smartest men and greatest fighters. His physical prowess, technical ingenuity, and tactical thinking make him an incredibly dangerous opponent. He was also a founding member of the Justice League.",Does Batman have powers ?,Batman does not have superhuman abilities but he is one of the world’s smartest men and greatest fighters.
Beast_Girl_II_,"Beast Girl (real name Kareli) is a young metahuman member of the Doom Patrol. Sometime after the Lazarus Event triggered a new wave of metahumans creations, the Doom Patrol began a campaign to recruit and protect the large amount of vulnerable and ostracized metahumans. Not long after, Kareli joined the team and moved into their new base, the Shelter.[1][2]",How did Best Girl join the Doom Patrol ?,Beast Girl became a metahuman after the Lazarus Event. The Doom Patrol began a campaign to recruit ostracized methahumans.
Bernhard_Baker_,"Bernhard ""Buddy"" Baker is Animal Man, the Avatar of The Red, and protector of all animal life on Earth - including humans. In his everyday life, he was an actor and animal rights activist, loving husband, and father of two. As both super-hero and family-man, Buddy was often forced to try to balance the two aspects of his life.",Who is Bernhard « Buddy » Baker known as ?,Animal Man
Beryl_Hutchinson_,"Beryl Hutchinson is the vigilante known as Knight, the third in the lineage of British heroes to use the alias. Originally, Hutchinson served as Squire, the sidekick of the second Knight Cyril Sheldrake, who himself served as his predecessor's Squire before her. Upon his death, Hutchinson took up the mantle, taking a new Squire of her own.",Whose superhero was Beryl Hutchinson the sidekick of ?,The second Kight Cyril Sheldrake
Bigby_Wolf_,"Bigby Wolf is a Fable – a character of myth and legend who has assumed several guises both in his native Homeland, as well as in the public consciousness on Earth. In the Homelands, he is most renowned for terrorizing three small pigs, resulting in the destruction of their homes, and also for stalking a young girl through the woods and impersonating her grandmother in the hopes of baiting her into a trap.",What is Bigby Wolf renowned for in the Homelands ?,For terrorizing three smal pigs and stalking a girl through the woods
Billy_Batson_,"Shazam (real name Billy Batson) is the excitable, noble and powerful champion of magic selected by the Wizard. As the leader of the Shazam Family, he uses his powers of flight, super-strength, and manipulation of lightning to protect the world from powerful threats such as Doctor Sivana, the Seven Deadly Sins and Kalypso.",What are Shazam’s powers ?,"Power of flight, super-strength and manipulation of lightning"
Billy_Batson_,"Billy Batson was once Shazam, before he imprisoned a mysterious entity in the Rock of Eternity. In order to allow Billy to both guard the Rock and still be a hero, the demon Neron separated Billy and his empowered form into two different entities. Billy would remain in Hell to guard the Rock of Eternity, while Shazam returned to Earth to act as a hero, now without his younger self's innocence or conscience.",How was Billy Batson able to both guard the Rock and still be a hero ?,The demon Neron separated Billy and his empowered form into two different entities. Billy stayed in hell to guard the Rock and Shazam returned to Earth to act as a hero.
Billy_Batson_,"Captain Marvel is the World's Mightiest Mortal. Originally, he was an orphaned boy named Billy Batson, who was chosen by the wizard Shazam to be a champion of good. Shazam gifted Billy with the power of six legendary Greek/Judaic figures when he spoke the Wizard's name, transforming into an adult superhero. Later, Captain Marvel would gain the ability to share his power with Mary Marvel and Captain Marvel Jr., creating the Marvel Family. Today, Captain Marvel remains as one of the world's greatest heroes.",How does Billy Batson transform into Captain Marvel ?,By pronouncing the Wizard’s name : Shazam
Blair_Wong_,"Blair Wong is a Gotham City Police Department Detective who dated Bruce Wayne and learned his identity as Batman while investigating a series of murders for which Batman was the prime suspect. Their relationship did not survive the revelation, but she did not turn him in as she uncovered the true identity of the killer.",How did Blair Wong uncover Batman’s secret identity ?,By dating Bruce Wayne while investigating a series of murder for which Batman was the prime suspect.
Brion_Markov_,"Brion Markov is Geo-Force, a powerful super-hero and member of the royal family in Markovia. His powers allow him to control gravity and the Earth's terrain. This has led him to become a long-standing member of the Outsiders, and he later joined the Justice League. His half-sister is Terra of the Teen Titans.",Who is Brian Markov’s half sister ?,Terra of the Teen Titans
Bruce_Wayne_,"The Batman (real name Bruce Wayne) is the vengeful and brutal vigilante protector of Gotham City, as well as the quiet and awkward head of Wayne Enterprises. He uses his expert combat skills and advanced gadgets to protect Gotham from criminals such as the Children of Arkham in an effort to make up for the sins of his late father.",How is Batman’s personality ?,Batman is vengeful and brutal
Bruce_Wayne_,"Bruce Wayne was the Batman, a tireless and cold vigilante with genius intellect and impeccable martial arts skills striving to make Gotham City a better place after losing his parents to petty crime. After initially working alone, he gained allies like Nightwing and Robin, and became a founding member of the Justice League. Years after having to retire due to old age, he trained the young Terry McGinnis as his successor.",Who became Batman’s successor ?,Terry McGinnis
Bruce_Wayne_,"The Batman (real name Bruce Wayne) was a tireless, courageous, and honorable crimefighter operating out of Gotham City. Having acted as a member of the Justice Society of America and fought various criminals in his own city for many years, he also trained proteges in Huntress and Robin, and left behind a legacy of justice and honor.",Where does Batman operate ?,Gotham City
Bruce_Wayne_,"Batman is a vigilante and the superhero protector of Gotham City, a man dressed like a bat who fights against evil and strikes terror into the hearts of criminals everywhere. In his secret identity, he is Bruce Wayne, a billionaire industrialist and notorious playboy. Although he has no superhuman powers, he is one of the world's smartest men and greatest fighters. His physical prowess and technical ingenuity make him an incredibly dangerous opponent. He is also a founding member of the Justice League of America and the Outsiders.",What animal is Batman dressed as ?,A bat
Bruce_Wayne_,"The Batman (real name Bruce Wayne) is the wrathful and obsessive vigilante protector of Gotham City, and the quiet, reclusive head of Wayne Enterprises in his civilian identity. Driven by tragedy, he uses a combination of genius tactics and advanced gadgetry to investigate and fight criminals like the Riddler and Carmine Falcone, and instill hope in the people of Gotham.",How does Batman fight criminals ?,By using a combination of genius tactics and advanced gadgetry
Bruce_Wayne_,"Batman (real name Bruce Wayne) is the main vigilante operating in 1920s Gotham City. After witnessing the murder of his parents at the hands of a ""mugger"" as a child, Bruce waged a war on crime in Gotham. In his secret identity, he is a billionaire industrialist and notorious playboy. He fought the city's crime problems as well as Ra's al Ghul and the Iog-Sotha entity.",What led Batman to wage a war on criem ?,Witnessing the murder of his parents as a child
Bruce_Wayne_,"Batman (real name Bruce Wayne) is an egotistical, aggressive, and noble superhero and businessman. Primarily operating out of Gotham City, he uses his skills as a crimefighter and Master Builder alongside the Master Builders and the Bat-Family to protect both his city and the wider universe from threats such as Lord Business, the Joker, and Rex Dangervest.",What does Batman protect ?,Gotham City and the wider universe
Caitlin_Snow_,"Caitlin Snow is a scientist at S.T.A.R. Labs and a member of Team Flash. She developed cryogenic powers and a alternate personality after her father used cryogenic research to freeze the progression of her ALS disease. After the Flashpoint, her persona Killer Frost emerged and become an enforcer for Savitar. Eventually, Caitlin has gotten herself and her powers under control and dropped the Killer, becoming simply Frost, until her personality was separated by Mirror Monarch and later killed by Deathstorm. She tried to ressurect Frost with the help of Mark Blaine, creating another personality named ""Khione"" instead; a god-like being with elemental powers.[1]",Why did Caitlin Snow develop cryogenic powers ?,Her father used cryogenic research to freeze the progression of her ALS disease
Carol_Ferris_,"Carol Ferris is the boss and occasional love interest of Hal Jordan. Her family owns the Ferris Aircraft company, where she acts as an executive, and sometimes as a pilot. She is also Star Sapphire, a once villainous character occupying another part of her personality entirely. In the Star Sapphire Corps, where she fights for love across the universe, she has taken on a more heroic role.",What is the emotion of the Sapphire Corps ?,Love
Carol_Ferris_,"Businesswoman and pilot Carol Ferris is the Star Sapphire, a powerful ringbearer who harnesses the power of love - in her case, the love for her employee Green Lantern (Hal Jordan). Carol is a highly respected member of the Star Sapphire Corps and was that organization's emissary in the New Guardians.",Was Carol Ferris an emissary for the Sapphire Corps in the New Guardians ?,Yes
Cassandra_Cain_,"Cassandra Cain is the fourth Batgirl. Born with the assassins David Cain and Lady Shiva as her parents, she was trained to become the perfect warrior. Her father deprived her of speech so she would learn movement and physicality as her first language. Batman adopted her into the Batman Family during No Man's Land, to replace Helena Bertinelli as Batgirl. Cassandra would eventually turn her Batgirl costume over to Stephanie Brown, and become a member of Batman Incorporated as Black Bat.",What is Cassandra Cain first langage ?,Movement and Physicality
Cassandra_Cain_,"Cassandra ""Cass"" Cain is the vigilante Batgirl, forming one half of the Batgirls with Stephanie Brown. Also known as Orphan, she fights crime as a member of the Batman Family. The daughter of assassins David Cain and Lady Shiva, she was raised to be the perfect killer before rebelling and joining Batman's crusade as his adoptive daughter.",Whos is Cassandra Cain adopted father ?,Bruce Wayne
Cassandra_Sandsmark_,"Cassie Sandsmark, initially known as the superhero Wonder Girl, was a brave honorary Amazon and a member of the Teen Titans. She was one of the survivors who took refuge on Earth-2. Some time later, Cassie would take up the mantle of Wonder Woman, since her predecessor Diana had become one of the Anti-Living after being infected.",Why did Cassandra Sandsmark become Wonder Woman ?,Because the original Wonder Woman Diana had become one of the Anti-Living
Charley_Parker_,"Charley Parker was a teenaged orphan who idolized Hawkman and fashioned a set of wings to look like him. While the hero was called back to duty on Thanagar, the Matter Master accidentally transformed Parker into a being with wings called Golden Eagle who teamed up with the Justice League of America to reverse the effects.[1] Golden Eagle later joined the short-lived Titans West.[2]",Who were Charley Parker’s parents ?,Charley Parker is an orphan
Christine_Blaze_,"Christine Blaze was a International Operations agent and former lover of John Lynch. Though she was qualified, but was not chosen for Team 7 as I/O Director Miles Craven knew of Christine's relationship with Lynch  and the fact he did not want to employ women on his team because he felt they would be a distraction.",Why wasn’t Christine chosen by Miles Craven to be on Team 7 ?,Miles Craven did not want women on the team because he felt they would be a distraction
Compuxo_Mark-I_,"Compuxo was a super-computer installed into the Galaxy Building by the scientist Dr. Mitchell under contract with Galaxy CEO Morgan Edge. Its original intended function was to automate and coordinate the Galaxy Building's infrastructure, and as a result, the protection of the building became its prime directive, even after acquiring sentience.",Where was Compuxo installed ?,Into the Galaxy building
Constance_D'Aramis_,"The twin sisters Constance and Vivian D'Aramis operated as Crimson Fox. With their similar attire and pheromone powers, they were hard to tell apart and the general populace of France was largely unaware that the Crimson Fox was in fact two separate people. They were both members of the Justice League Europe.",Was Crimson Fox one person ?,The identity of Crimson Fox was shared by the twin sisters Constance and Vivan D’Aramis
Courtney_Whitmore_,"Courtney Whitmore is a young heroine who has been a member of the Justice Society of America and the JSA All-Stars. She originally operated as Star-Spangled Kid using Sylvester Pemberton's Cosmic Converter Belt, but when Jack Knight left her the Cosmic Staff, she adopted the name Stargirl. With the belt and the staff, she carries on the legacies of Star-Spangled Kid and Starman.",When did Courtney Whitmore become stargirl ? ,Courtney became stargirl after inheriting the Cosmic Staff from Jack Knight
Curtis_Metcalf_,"Curtis Metcalf, alias Hardware is a superhero vigilante operating out of Dakota City. He is a genius inventor who has designed an advanced armored exo-skeleton with an immense arsenal of technological weaponry. He wages a one-man crusade against crime by night, fighting against his former mentor, Edwin Alva and the international syndicate S.Y.S.T.E.M..",When does Curtis Metcalf fight crime ?,At night
Cyril_Sheldrake_,"Cyril Sheldrake was the son of Percy Sheldrake and together they formed the team of Knight and Squire. Cyril was Squire until his father's death, after which he took the mantle of Knight. With his father, he was a member of the Batmen of All Nations and with a Squire of his own, joined Batman Incorporated.",How many squire are there ?,There are two
Damian_Wayne_,"Damian Wayne is the son of Batman and Talia al Ghul, grandson to Ra's al Ghul. Born during Son of the Demon as Ibn al Xu'ffasch, his existence was kept secret until the events of Batman and Son. Eventually he became the fifth Robin during Batman Reborn. He has been a member of the Batman Family, Batman Incorporated, the League of Assassins and the Teen Titans. ",What is Damian’s birth name ?,Ibn al Xu'ffasch
Daniel_Dreiberg_,"Daniel ""Dan"" Dreiberg was the second Nite Owl, a vigilante who came out of retirement after the death of fellow crimefighter the Comedian. More than the other heroes, he relied on his technological genius and gadgets to bust crime. After failing to stop Ozymandias' plot to save mankind by killing millions, Dan returned to retirement with his sweetheart Laurie and tried living a normal life under the name Sam Hollis.",Was Nite Owl able to defeat Ozymandias ?,"No, Nite Owl failed to stop Ozymandias"
Dawn_Golden_,"Dawn Golden was Aleister Golden's only child. Her father was a member of a cult that performed dark magic rituals. Dawn's father was cold and distant to her, but he told her that she had a greater purpose. Her only memento from her childhood was an amulet she had from when she was born.",What is Dawn only memento from her childhood ?,An alumet from when she was born
Diana_of_Paradise_Island_,"Diana is an Amazon of Paradise Island who fights crime as Wonder Woman. In her civilian identity, she is known as Diana Prince, and she has been an Air Force intelligence officer, NASA astronaut trainee, United Nations guide and the proprietor of a mod fashion store. She is a founding member of the Justice League of America.",What occupations did Diana have ?,"Diana Prince has been an Air Force intelligence officer, a NASA astronaut trainee, a United Nations guide and the proprietor of a mod fashion store. "
Diana_of_Paradise_Island_,"Diana of Paradise Island is an Amazon princess who has come to be known as the heroine Wonder Woman in the world of men. As Diana Prince, then a yeoman first class in the United States Navy's Women Accepted for Voluntary Emergency Service, or WAVES, Corps, she was originally active in World War II with the Air Corps Intelligence Division. After the war, she returned to Paradise Island. In the 1970s, She rejoined the world of men and, as now-Commander Diana Prince, now of the regular United States Navy, joined the Inter-Agency Defense Command.",When did Diana leave Paradise Island once again ?,In the 1970s
Diana_of_Themyscira_,"Princess Diana of Themyscira, also known as Wonder Woman, is a founding member of the Justice League of America and one of the strongest female superheroes on the planet. She is a princess of the Amazons of Paradise Island, sculpted from clay by Queen Hippolyta and given life by the Gods of Olympus. She is a champion of love, truth and peace, and uses her god-given powers to bring these values to Man's World.",How was Wonder Woman born ?,Diana was sculpted from clay by her mother Queen Hippolyta and then given life by the gods of Olympus
Dinah_Laurel_Lance_,"Dinah Laurel Lance is the daughter of Dinah Lance and the Starling City police captain Quentin Lance. She is the older sister of Sara, the frequent flame of Oliver Queen, and also operated under the alias Black Canary as a vigilante in Star City, until she was killed by Damien Darhk during a riot in Iron Heights.",Where was Dinah Laurel killed ?,Dinah Laurel was killed in Iron Heights during a riot
Dinah_Laurel_Lance_,"Dinah Laurel Lance is Black Canary, one of the world's foremost martial artists. She is the daughter of Dinah Drake, who used the moniker before her, and a frequent partner of Green Arrow, who over time became her boyfriend, husband, and ex-husband. Black Canary has been an important member of the Justice League of America and the Birds of Prey.",Who is Dinah Laurel’s main love interest ?,"Dinah Laurel’s main love interest is Oliver Queen, also known as Green Arrow, who was her boyfriend, husband and ex-husband"
Dirk_Morgna_,"This version of Dirk Morgna is one of the Batch SW6 Legionnaires, a younger version of the Legion's existing adult Dirk Morgna introduced during the ""Five Years Later"" era. Batch SW6 were originally believed to be clones created by the Dominators, but later revealed as time-paradox duplicates engineered by the Time Trapper. The events of Zero Hour erased them and their adult counterparts, replacing them with the Reboot Legion.",When was Dirk Morgna introduced ?,Dirk Morgna was introduced during the « Five Yeas Later » era
Donna_Troy_,"Donna Troy, alias Wonder Girl, and later Troia and Wonder Woman, is a superhero with a long association with the Teen Titans and Titans, before becoming a core member of the Justice League of America. As a magical mirror duplicate of Wonder Woman, she is considered her sister. When Donna experienced having superhuman powers and abilities, she adopted the identity of Wonder Girl. Donna became one of the founding members of the Teen Titans, even suggesting the name of the group from a residual memory. ",Who suggested the name « Teen Titans » ?,Donna Troy suggested the name of the group from a residual memory. 
Dorothy_Spinner_,"Dorothy Spinner is the kind but powerful daughter of Niles Caulder, and a metahuman with the ability to bring imaginary beings from her mind into and out of creation. Originally sweet and naive, Dorothy grew more mature and focused as she battled her most powerful friend, the Candlemaker, and bonded with the test subjects in her father's experiments in immortality, the Doom Patrol.",Why did Dorothy Spinner’s personality changed ?,"Dorothy grew more mature as she battled her most powerful friend,  the Candlemaker, and bonded with the test subjects in her father's experiments in immortality, the Doom Patrol"
Duke_Thomas_,"When Barbatos and his Dragons of the Bat attacked the multiverse, Duke Thomas hoped to save it. First he fled into it, trying to outrun their ""Deathwave"", but when he failed, he returned home and reunited the Justice League. The new League defeated the Dragons, at the cost of their lives, leaving Duke to be the Final Knight as the Deathwave collapsed everything around him.",Why did Duke Thomas need to save the multiverse ?,Duke Thomas needed to save the multiverse because Barbatos and his dragons attacked it
Duke_Thomas_,"Duke Thomas is The Signal, the teenage metahuman vigilante and daylight protector of Gotham. Following the loss of his parents' sanity at the hands of the Joker, Duke joined and led the We Are Robin movement, hundreds of civilian teenagers who donned the Robin R and fought for their city in Batman's absence. Eventually, Duke left the movement and briefly struck out on his own, before being offered to train under Batman and join his family officially. Duke is now a member of the newly re-formed Outsiders team led by Black Lightning.",Of which familiy is Duke Thomas a part of ?,Duke Thomas is part of the batfamily
Edward_Thawne_,"Eddie Thawne was a CCPD detective transferred from Keystone City, who became the partner of the detective Joe West and the fiancé of Iris West. The most famous of his descendants is Eobard Thawne, the super-villain Reverse-Flash. Years after his death, Eddie was resurrected as ""Dr. Malcolm Gilmore"" by the Negative Speed Force to become its new avatar: Cobalt Blue.",Who is Joe West’s famous descendant ?,"Joe West has many famous descendants, the most famous one is Eobard Thawne also known as the supervillain Reverse-Flash"
Eleanor_Darhk_,"Nora Darhk is the wife of Ray Palmer and the daughter of the H.I.V.E. leader Damien Darhk. After her father was killed by the Green Arrow, Nora was sent to Sumner Asylum and was possessed by the time demon Mallus. Years later, she inherited her father's powers and became a member of his cult to resurrect him and bring Mallus back. After Damien sacrificed himself to save her, Nora redeemed herself and joined the Legends, eventually becoming the new Fairy Godmother after taking over from the old one.",Who killed Nora Darhk’s father ?,"Nora Darhk’s father, H.I.V.E leader Damien Darhk, was killed by the Green Arrow."
Eve_,"Eve was one of the original humans created by God during the Dawn of Time. She was originally created to be the second wife of Adam following the banishment of Lilith, Adam's first wife. After Eve fled Heaven and came to Earth millennia later, she briefly rekindled her relationship with Lucifer and later became a bounty hunter along with Mazikeen of the Lilim, who would later become her wife.",What did Eve do after fleeing Heaven ?,Eve firstly briefly rekindled her relationship with Lucifer. She then became a bounty hunter and married her wife Mazikeen of the Lilim.
Father_Sea_,"Father Sea is the primordial patriarch of all ocean gods and late husband of Mother Salt. When murderous ire towards his children's recreational advances killed him, he would return as an ally/reminder of the sea god's obligation to the oceans majesty by ferrying haughty & complacent deep divinity to Unspoken Water.",Is Father Sea the primordial patriarch of all earth gods ?,"No, Father Sea is the primordial patriarch of all ocean gods."
Flying_Fox_,"The Flying Fox is a former member of the superhero team the Young All-Stars,[1] who later gained employment with the hero-for-hire service Heroz4U. Though his performance was poor, the Flying Fox had little in life but his work, and remained with the company for ten years until it was shuttered by the arson of its headquarters in Metropolis.[2]",Where were located the headquarters of Heroz4U ?,In Metropolis
Franklin_Clay_,"Lt. Col. Franklin Clay was the commander of a clandestine Black Ops team that worked for the CIA in the War on Drugs and later, the War on Terror. After their handler, Max, betrayed them, Clay took the team underground and set out to stop many of Max and the CIA.",Why did Franklin Clay take his team underground ?,Franklin Clay took his team underground during the War on Terror because their handler Max betrayed them
Franklin_Rock_,"Sgt. Franklin ""Frank"" Rock was the authority figure within his unit, Easy Company, during World War II. The unit was made up of a disparate collection of individuals who managed to participate in every major action in the European Theatre. Throughout the gruelling conflict, Rock developed a loathing for warfare but also creating a strong bond and deep sense of loyalty with the men of Easy Company.",Did the men of Easy Company get along well ?,"Yes, they all got along well"
Frau_Totenkinder_,"Frau Totenkinder is the leader of the of Fabletown. She is the Black Forest Witch from the Hansel and Gretel story. Her outward appearance as a rather frail old woman masks the fact that she is one of the most powerful Fables to have escaped the Homelands, and she could, in all probability, hold her own against most of those mages working for the Adversary.",Which famous tale is Frau Totenkinder from ?,Frau Totenkinder is the Black Forest Witch from the Hansel and Gretel story
Frederick_Freeman_,"Freddy Freeman is a young man who owns and operates his own corner newsstand. Crippled from an accident, Freddy Freeman has only to say the magical word Shazam in order to turn into the mighty Captain Marvel, Jr. Together with the Marvel Family, Freddy fights to defend Fawcett City from the likes of Doctor Sivana and his Sivana Family.",Where does Captain Marvel Jr operate ?,Fawcett City
Frederick_Freeman_,"Freddy Freeman was an average teenager and fan of Captain Marvel until he was paralyzed after an encounter with Captain Nazi. He would later find himself empowered by his best friend and secret idol, Billy Batson, as Captain Marvel, Jr., later shortened to CM3.  Eventually, he would advance to become the new magical champion of Earth under the name Captain Marvel. Freddy has prominently served as a member of the Marvel Family and the Teen Titans.",How did Freddy Freeman become paralyzed ?,Freddy Freeman was paralyzed after an encounter with Captain Nazi
